train,val
P31749_K_8_R,Q00536_K_194_A
P31749_K_14_Q,Q00536_K_194_R
P31749_K_14_R,P21453_E_121_Q
P31749_K_20_Q,P21453_F_210_L
P31749_T_308_D,P21453_F_265_L
Q86WA6_S_139_A,P21453_W_269_F
Q86WA6_D_244_N,P21453_W_269_L
Q86WA6_H_272_A,O60760_D_96_N
Q8N4E7_S_204_A,O60760_D_97_N
Q01973_C_482_G,Q96RG2_K_1028_R
Q01974_D_482_G,Q96RG2_R_1058_A
Q00535_S_159_A,Q96RG2_R_1058_K
O95257_A_47_R,Q96RG2_A_1151_K
O95257_I_76_E,Q96RG2_Y_1152_F
O95257_L_80_E,Q96RG2_T_1161_A
O95257_A_83_R,Q96RG2_T_1165_A
O95257_E_87_K,Q9UGB7_K_127_S
O95257_D_89_K,P15428_Q_148_A
P21673_Y_140_F,P15428_Y_151_A
P07711_C_138_S,P15428_Y_151_F
P51857_Y_58_A,P15428_K_155_Q
P51857_E_120_A,O60704_R_78_A
P49789_I_10_W,O60704_E_99_A
P49789_L_25_W,O60704_R_101_A
P49789_H_35_N,O60704_W_113_A
P49789_H_94_N,O60704_K_158_A
P49789_H_96_D,O60704_T_198_A
P49789_H_96_G,O60704_S_285_A
P49789_H_96_N,Q9UGP5_K_312_A
P49789_H_98_N,Q9UGP5_D_427_A
P05231_A_173_V,Q9UGP5_D_429_A
P05231_W_185_R,Q9UGP5_Y_505_A
P05231_S_204_P,Q9UGP5_F_506_G
P05231_R_210_K,Q9UGP5_F_506_R
P05231_R_210_E,P19474_C_16_A
P05231_R_210_Q,Q02297_K_181_E
P05231_R_210_T,Q02297_K_185_E
P05231_R_210_A,Q02297_K_187_E
P05231_R_210_P,O15527_K_249_Q
P62979_K_48_R,O15527_D_268_E
P62979_K_63_R,O15527_D_268_Q
P62979_S_65_D,O15527_D_268_N
P62979_H_68_G,Q9NX09_S_103_L
P62979_R_72_G,Q9NX09_S_103_W
Q7L266_T_168_A,Q9NX09_R_133_A
Q7L266_T_168_C,Q9NX09_S_137_A
Q7L266_T_168_S,Q9NX09_S_137_D
P10275_E_898_A,Q9NX09_P_139_A
P10275_E_898_Q,Q9NX09_C_140_S
P10275_E_898_K,P06702_E_36_Q
P10275_E_898_R,P06702_M_63_A
Q8TDX7_Y_28_A,P06702_E_78_Q
Q8TDX7_L_31_A,P06702_M_81_A
Q8TDX7_N_33_D,P06702_M_83_A
Q8TDX7_Y_97_A,Q96GX9_Q_96_A
Q8TDX7_Y_97_F,Q96GX9_C_97_A
Q8TDX7_Y_97_L,Q96GX9_H_115_A
Q9BT30_L_110_Q,Q96GX9_E_139_A
Q9UMS0_G_189_A,Q9UBL3_R_296_K
Q9UMS0_G_189_K,Q9UBL3_R_300_K
O15091_D_409_N,Q9BVM4_E_82_A
O15091_D_478_N,Q9BVM4_E_82_Q
O15091_D_479_N,Q86TM6_C_329_S
O15091_P_480_G,Q9H3L0_F_165_A
P35240_S_518_D,Q9H3L0_M_186_A
Q92830_E_575_A,Q9H3L0_W_189_A
Q92830_D_615_A,Q9H3L0_C_212_A
Q9UKL6_C_63_A,Q9H3L0_Y_237_A
Q9Y6E0_K_65_A,Q9H3L0_R_266_A
Q9Y6E0_T_190_A,Q9H3L0_W_270_A
P01236_G_157_D,Q9H3L0_S_278_A
P01236_G_157_F,Q9H3L0_F_280_A
P01236_G_157_L,Q9H1R2_C_85_S
P01236_G_157_N,O75554_W_150_A
P01236_G_157_R,O75554_W_191_A
P01236_G_157_V,P27695_C_65_A
P01236_G_157_Y,P27695_C_65_S
P17844_K_53_R,P27695_N_68_A
P17844_K_144_R,P27695_D_70_A
P17735_I_294_A,P27695_C_93_A
Q09013_K_100_A,P27695_E_96_A
Q9NYG5_C_23_S,P27695_C_99_A
Q9NYG5_C_26_S,P27695_C_138_A
Q9NYG5_C_34_S,P27695_Y_171_A
Q9NYG5_C_37_S,P27695_Y_171_F
Q9NYG5_C_44_S,P27695_Y_171_H
Q9NYG5_C_51_S,P27695_C_208_A
Q9NYG5_H_53_S,P27695_D_210_A
Q9NYG5_H_56_S,P27695_D_210_N
Q9NYG5_H_58_S,P27695_N_212_A
Q9NYG5_C_59_S,P27695_N_212_Q
Q9NYG5_C_73_S,P27695_N_212_D
Q9NYG5_C_76_S,P27695_F_266_A
Q96LI5_E_240_A,P27695_D_283_A
Q96LI5_F_484_A,P27695_C_296_A
Q96LI5_D_489_A,P27695_D_308_A
Q96LI5_H_529_A,P27695_H_309_N
Q9NYG8_G_98_I,P27695_H_309_S
Q9NYG8_W_236_S,P27695_C_310_A
