train,val
P31749_K_8_R,Q01974_D_482_G
P31749_K_14_A,P02768_H_91_A
P31749_K_14_Q,Q71DI3_C_111_A
P31749_K_14_R,P78560_L_27_F
P31749_E_17_K,P78560_G_65_A
P31749_K_20_Q,P78560_N_121_D
P31749_K_20_R,P78560_Q_125_A
P31749_R_25_A,P78560_L_136_E
P31749_R_25_C,P78560_Q_142_E
P31749_R_86_A,P78560_Y_146_A
P31749_Y_176_F,P78560_R_147_A
P31749_T_305_A,P78560_R_147_E
P31749_T_305_Y,P78560_K_149_E
P31749_T_308_D,P78560_H_154_A
P31749_T_312_A,P78560_V_156_D
P31749_T_312_Y,P78560_Q_169_A
P34998_F_232_A,P78560_Q_169_E
P34998_M_235_A,P78560_R_170_A
P34998_L_309_A,P78560_E_188_K
P34998_N_312_A,P78560_V_189_W
P34998_F_313_A,P78560_V_189_D
P34998_L_316_A,O60760_D_93_N
P34998_I_319_A,O60760_D_96_N
P34998_Y_356_A,O60760_D_97_N
P34998_Q_384_A,Q9NYG8_G_98_I
P60880_Q_152_A,Q9NYG8_W_236_S
P60880_I_156_E,Q96RG2_K_1028_R
P60880_D_166_A,Q96RG2_R_1058_A
P60880_M_167_E,Q96RG2_R_1058_K
P60880_A_199_R,Q96RG2_A_1151_K
P60880_M_202_Y,Q96RG2_Y_1152_F
Q86WA6_S_139_A,Q96RG2_T_1161_A
Q86WA6_D_244_N,Q96RG2_T_1165_A
Q86WA6_H_272_A,Q96Q83_R_122_A
Q8N4E7_S_204_A,Q96Q83_E_123_A
Q01973_C_482_G,Q96Q83_R_131_A
Q00535_S_159_A,Q96Q83_L_177_A
Q00535_S_159_T,Q96Q83_L_177_N
Q00536_K_194_A,Q96Q83_L_177_E
Q00536_K_194_R,Q96Q83_L_177_Q
O95257_A_47_R,Q96Q83_L_177_I
O95257_I_76_E,Q96Q83_L_177_M
O95257_L_80_E,Q96Q83_N_179_A
O95257_A_83_R,Q96Q83_Y_181_A
O95257_E_87_K,Q96Q83_D_189_A
